x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-2.675781,-0.990563,-1.000000,-0.834473,0.009437,0.156091
-2.671875,-0.990490,-1.000000,-0.833984,0.009510,0.156505
-2.667969,-0.990415,-1.000000,-0.833496,0.009585,0.156919
-2.664062,-0.990341,-1.000000,-0.833008,0.009659,0.157333
-2.660156,-0.990265,-1.000000,-0.832520,0.009735,0.157746
-2.656250,-0.990189,-1.000000,-0.832031,0.009811,0.158158
-2.652344,-0.990113,-1.000000,-0.831543,0.009887,0.158570
-2.648438,-0.990035,-1.000000,-0.831055,0.009965,0.158981
-2.644531,-0.989958,-1.000000,-0.830566,0.010042,0.159391
-2.640625,-0.989879,-1.000000,-0.830078,0.010121,0.159801
-2.636719,-0.989800,-1.000000,-0.829590,0.010200,0.160211
-2.632812,-0.989721,-1.000000,-0.829102,0.010279,0.160619
-2.628906,-0.989641,-1.000000,-0.828613,0.010359,0.161027
-2.625000,-0.989560,-1.000000,-0.828125,0.010440,0.161435
-2.621094,-0.989478,-1.000000,-0.827637,0.010522,0.161842
-2.617188,-0.989396,-1.000000,-0.827148,0.010604,0.162248
-2.613281,-0.989313,-1.000000,-0.826660,0.010687,0.162653
-2.609375,-0.989230,-1.000000,-0.826172,0.010770,0.163058
-2.605469,-0.989146,-1.000000,-0.825684,0.010854,0.163463
-2.601562,-0.989061,-1.000000,-0.825195,0.010939,0.163866
-2.597656,-0.988976,-1.000000,-0.824707,0.011024,0.164269
-2.593750,-0.988890,-1.000000,-0.824219,0.011110,0.164671
-2.589844,-0.988804,-1.000000,-0.823730,0.011196,0.165073
-2.585938,-0.988716,-1.000000,-0.823242,0.011284,0.165474
-2.582031,-0.988628,-1.000000,-0.822754,0.011372,0.165874
-2.578125,-0.988540,-1.000000,-0.822266,0.011460,0.166274
-2.574219,-0.988450,-1.000000,-0.821777,0.011550,0.166673
-2.570312,-0.988360,-1.000000,-0.821289,0.011640,0.167071
-2.566406,-0.988269,-1.000000,-0.820801,0.011731,0.167469
-2.562500,-0.988178,-1.000000,-0.820312,0.011822,0.167865
-2.558594,-0.988086,-1.000000,-0.819824,0.011914,0.168261
-2.554688,-0.987993,-1.000000,-0.819336,0.012007,0.168657
-2.550781,-0.987899,-1.000000,-0.818848,0.012101,0.169052
-2.546875,-0.987805,-1.000000,-0.818359,0.012195,0.169446
-2.542969,-0.987710,-1.000000,-0.817871,0.012290,0.169839
-2.539062,-0.987614,-1.000000,-0.817383,0.012386,0.170231
-2.535156,-0.987517,-1.000000,-0.816895,0.012483,0.170623
-2.531250,-0.987420,-1.000000,-0.816406,0.012580,0.171014
-2.527344,-0.987322,-1.000000,-0.815918,0.012678,0.171404
-2.523438,-0.987223,-1.000000,-0.815430,0.012777,0.171794
-2.519531,-0.987124,-1.000000,-0.814941,0.012876,0.172182
-2.515625,-0.987023,-1.000000,-0.814453,0.012977,0.172570
-2.511719,-0.986922,-1.000000,-0.813965,0.013078,0.172958
-2.507812,-0.986820,-1.000000,-0.813477,0.013180,0.173344
-2.503906,-0.986718,-1.000000,-0.812988,0.013282,0.173729
-2.500000,-0.986614,-1.000000,-0.812500,0.013386,0.174114
-2.496094,-0.986510,-1.000000,-0.812012,0.013490,0.174498
-2.492188,-0.986405,-1.000000,-0.811523,0.013595,0.174881
-2.488281,-0.986299,-1.000000,-0.811035,0.013701,0.175264
-2.484375,-0.986192,-1.000000,-0.810547,0.013808,0.175645
-2.480469,-0.986085,-1.000000,-0.810059,0.013915,0.176026
-2.476562,-0.985976,-1.000000,-0.809570,0.014024,0.176406
-2.472656,-0.985867,-1.000000,-0.809082,0.014133,0.176785
-2.468750,-0.985757,-1.000000,-0.808594,0.014243,0.177163
-2.464844,-0.985646,-1.000000,-0.808105,0.014354,0.177541
-2.460938,-0.985534,-1.000000,-0.807617,0.014466,0.177917
-2.457031,-0.985422,-1.000000,-0.807129,0.014578,0.178293
-2.453125,-0.985308,-1.000000,-0.806641,0.014692,0.178668
-2.449219,-0.985194,-1.000000,-0.806152,0.014806,0.179042
-2.445312,-0.985079,-1.000000,-0.805664,0.014921,0.179415
-2.441406,-0.984963,-1.000000,-0.805176,0.015037,0.179787
-2.437500,-0.984846,-1.000000,-0.804688,0.015154,0.180158
-2.433594,-0.984728,-1.000000,-0.804199,0.015272,0.180528
-2.429688,-0.984609,-1.000000,-0.803711,0.015391,0.180898
